 "'AS-IS'" 1 
 "----" 1 
 "--Larry" 1 
 "--at" 1 
 "--er--that" 1 
 "--rose" 1 
 "--she" 1 
 "--the" 1 
 "within" 12 (L 1249, off 34) (L 3013, off 6) (L 3238, off 23) (L 3570, off 45) (L 4055, off 24) (L 4088, off 51) (L 4280, off 0) (L 7156, off 42) (L 9139, off 18) (L 9147, off 35) (L 9156, off 55) (L 9197, off 31) 
 "world" 12 (L 82, off 57) (L 947, off 38) (L 2897, off 62) (L 2960, off 62) (L 4010, off 22) (L 4532, off 4) (L 5322, off 41) (L 6463, off 21) (L 6819, off 4) (L 7220, off 46) (L 7522, off 0) (L 8529, off 28) 
 "worth" 12 (L 287, off 62) (L 1172, off 55) (L 2033, off 6) (L 2431, off 0) (L 5177, off 62) (L 5344, off 3) (L 5936, off 59) (L 6553, off 39) (L 6721, off 15) (L 7041, off 13) (L 7085, off 29) (L 8432, off 0) 
 "writing" 12 (L 1447, off 22) (L 2783, off 52) (L 3899, off 43) (L 4180, off 5) (L 4186, off 0) (L 4764, off 19) (L 7047, off 44) (L 7712, off 9) (L 8059, off 0) (L 9147, off 12) (L 9164, off 55) (L 9206, off 46) 
 "wrong" 12 (L 1841, off 20) (L 2042, off 52) (L 2043, off 27) (L 3596, off 13) (L 3778, off 20) (L 3955, off 55) (L 4102, off 24) (L 4178, off 60) (L 5091, off 48) (L 5388, off 14) (L 5521, off 45) (L 6048, off 27) 
 "Archive" 13 (L 9045, off 37) (L 9138, off 32) (L 9142, off 44) (L 9144, off 36) (L 9165, off 36) (L 9184, off 19) (L 9246, off 19) (L 9248, off 51) (L 9253, off 61) (L 9256, off 31) (L 9262, off 9) (L 9280, off 9) (L 9335, off 0) 
 "His" 13 (L 1921, off 0) (L 2136, off 33) (L 4091, off 47) (L 4455, off 33) (L 4957, off 0) (L 4979, off 0) (L 5153, off 64) (L 5911, off 0) (L 6258, off 64) (L 6301, off 19) (L 6760, off 53) (L 6894, off 0) (L 8354, off 0) 
 "However" 13 (L 1524, off 40) (L 3896, off 0) (L 4744, off 52) (L 4765, off 60) (L 4778, off 22) (L 5111, off 0) (L 5906, off 0) (L 6171, off 59) (L 7862, off 0) (L 8042, off 0) (L 8238, off 49) (L 8328, off 36) (L 9115, off 36) 
 "Hudson" 13 (L 638, off 39) (L 2804, off 45) (L 2828, off 54) (L 2897, off 0) (L 2932, off 7) (L 2961, off 15) (L 2997, off 21) (L 3039, off 35) (L 3042, off 49) (L 3088, off 47) (L 3369, off 54) (L 3440, off 10) (L 6381, off 35) 
 "Literary" 13 (L 9045, off 28) (L 9138, off 23) (L 9142, off 35) (L 9144, off 27) (L 9165, off 27) (L 9184, off 10) (L 9246, off 10) (L 9248, off 42) (L 9253, off 52) (L 9256, off 22) (L 9262, off 0) (L 9280, off 0) (L 9334, off 57) 
 "Page" 13 (L 2251, off 51) (L 6375, off 51) (L 8464, off 51) (L 8926, off 4) (L 8930, off 4) (L 8934, off 4) (L 8938, off 4) (L 8942, off 4) (L 8946, off 4) (L 8950, off 4) (L 8954, off 4) (L 8958, off 4) (L 8962, off 4) 
 "River" 13 (L 638, off 46) (L 2804, off 52) (L 2828, off 61) (L 2897, off 7) (L 2932, off 14) (L 2961, off 22) (L 2997, off 28) (L 3039, off 42) (L 3369, off 61) (L 3440, off 17) (L 6381, off 42) (L 8814, off 53) (L 8818, off 17) 
 "across" 13 (L 643, off 9) (L 1011, off 36) (L 3327, off 62) (L 4027, off 0) (L 4028, off 0) (L 4480, off 5) (L 4700, off 43) (L 5732, off 60) (L 6326, off 0) (L 6335, off 0) (L 6339, off 35) (L 6357, off 24) (L 6506, off 53) 
 "added" 13 (L 93, off 17) (L 820, off 10) (L 914, off 58) (L 1266, off 4) (L 2350, off 3) (L 2697, off 3) (L 2718, off 61) (L 3394, off 29) (L 5290, off 34) (L 5943, off 11) (L 6134, off 0) (L 8399, off 27) (L 8485, off 11) 
 "always" 13 (L 1938, off 12) (L 3595, off 31) (L 3602, off 10) (L 3745, off 12) (L 3748, off 9) (L 3752, off 6) (L 5303, off 8) (L 5462, off 0) (L 5462, off 39) (L 6045, off 39) (L 6100, off 13) (L 8864, off 23) (L 8864, off 65) 
 "arms" 13 (L 694, off 13) (L 2493, off 6) (L 3279, off 31) (L 3544, off 37) (L 3571, off 67) (L 3921, off 41) (L 3989, off 29) (L 3994, off 52) (L 4674, off 22) (L 6248, off 53) (L 6446, off 45) (L 6838, off 0) (L 8673, off 55) 
 "between" 13 (L 3270, off 29) (L 3674, off 26) (L 3738, off 46) (L 3799, off 21) (L 3807, off 57) (L 3832, off 59) (L 4827, off 0) (L 5001, off 56) (L 5480, off 32) (L 6354, off 5) (L 7368, off 33) (L 7536, off 17) (L 8269, off 13) 
 "burst" 13 (L 525, off 46) (L 678, off 6) (L 977, off 51) (L 1420, off 16) (L 4669, off 47) (L 5865, off 30) (L 5897, off 14) (L 7294, off 49) (L 7326, off 11) (L 7448, off 27) (L 7470, off 50) (L 8633, off 26) (L 8669, off 35) 
 "business" 13 (L 85, off 30) (L 265, off 62) (L 2433, off 5) (L 2779, off 0) (L 2823, off 50) (L 3768, off 10) (L 4971, off 40) (L 4995, off 12) (L 6639, off 11) (L 7195, off 38) (L 7943, off 10) (L 9267, off 36) (L 9269, off 0) 
 "carrying" 13 (L 1032, off 0) (L 1061, off 35) (L 2569, off 15) (L 2572, off 42) (L 2743, off 5) (L 3772, off 0) (L 3785, off 54) (L 4048, off 8) (L 4058, off 8) (L 4971, off 15) (L 5015, off 29) (L 6606, off 54) (L 8070, off 7) 
 "chair" 13 (L 516, off 19) (L 1284, off 47) (L 1493, off 22) (L 1969, off 20) (L 1977, off 10) (L 2069, off 30) (L 2485, off 39) (L 3391, off 20) (L 3705, off 45) (L 3717, off 63) (L 4259, off 32) (L 5060, off 37) (L 6713, off 60) 
 "change" 13 (L 536, off 49) (L 945, off 38) (L 2775, off 0) (L 4920, off 46) (L 5399, off 20) (L 5440, off 51) (L 5442, off 0) (L 5446, off 62) (L 5554, off 45) (L 5584, off 62) (L 6629, off 30) (L 6923, off 33) (L 9063, off 20) 
 "changed" 13 (L 5446, off 0) (L 5640, off 0) 
 "copyright" 13 (L 8990, off 25) (L 8992, off 30) (L 9027, off 11) (L 9046, off 30) (L 9061, off 10) (L 9068, off 4) (L 9087, off 30) (L 9097, off 27) (L 9099, off 21) (L 9101, off 18) (L 9172, off 23) (L 9177, off 38) (L 9325, off 9) 
 "dark" 13 (L 614, off 7) (L 968, off 14) (L 2553, off 46) (L 2633, off 57) (L 3031, off 13) (L 3078, off 47) (L 3123, off 43) (L 4027, off 32) (L 4704, off 29) (L 4916, off 24) (L 4938, off 15) (L 6215, off 56) (L 6393, off 38) 
 "else" 13 (L 956, off 41) (L 1841, off 43) (L 2566, off 63) (L 2878, off 64) (L 4695, off 57) (L 4954, off 8) (L 5447, off 27) (L 5551, off 57) (L 6114, off 12) (L 6190, off 54) (L 6695, off 60) (L 7837, off 35) (L 7838, off 61) 
 "excited" 13 (L 513, off 0) (L 1037, off 27) (L 2343, off 8) (L 5542, off 13) (L 5695, off 20) (L 6451, off 24) (L 6802, off 11) (L 6871, off 49) (L 6982, off 21) (L 7552, off 61) (L 7790, off 42) (L 7897, off 63) (L 8040, off 45) 
 "extra" 13 (L 1172, off 41) (L 2426, off 39) (L 3071, off 58) (L 3453, off 52) (L 3462, off 63) (L 3466, off 26) (L 3874, off 20) (L 4861, off 10) (L 5822, off 23) (L 7743, off 57) (L 7785, off 63) (L 7787, off 54) (L 7835, off 0) 
 "family" 13 (L 233, off 57) (L 448, off 52) (L 778, off 15) (L 1294, off 7) (L 1373, off 53) (L 2187, off 49) (L 5934, off 51) (L 6161, off 63) (L 6165, off 19) (L 6170, off 15) (L 6191, off 24) (L 6301, off 52) (L 6920, off 46) 
 "hall" 13 (L 1558, off 4) (L 1704, off 16) (L 1729, off 38) (L 1767, off 0) (L 1788, off 43) (L 1830, off 56) (L 1911, off 57) (L 2261, off 28) (L 4239, off 20) (L 5112, off 44) (L 5634, off 0) (L 5733, off 0) (L 6086, off 5) 
 "haven" 13 (L 389, off 13) (L 689, off 58) (L 1936, off 3) (L 3980, off 3) (L 4115, off 10) (L 4812, off 0) (L 6945, off 16) (L 7092, off 4) (L 7569, off 34) (L 7977, off 3) (L 8094, off 61) (L 8209, off 26) (L 8324, off 24) 
 "hill" 13 (L 7272, off 61) (L 7367, off 41) (L 7510, off 64) (L 7713, off 26) (L 7770, off 9) (L 7840, off 58) (L 7933, off 24) (L 7993, off 56) (L 8002, off 28) (L 8169, off 12) (L 8214, off 36) (L 8502, off 37) (L 8518, off 37) 
 "iron" 13 (L 3007, off 40) (L 3015, off 59) (L 3018, off 32) (L 3047, off 9) (L 3071, off 41) (L 3175, off 7) (L 3234, off 30) (L 3251, off 17) (L 3257, off 62) (L 3282, off 64) (L 3298, off 13) (L 4510, off 44) (L 5051, off 53) 
 "life" 13 (L 79, off 51) (L 92, off 44) (L 233, off 0) (L 448, off 17) (L 542, off 36) (L 611, off 28) (L 1915, off 30) (L 2454, off 64) (L 2574, off 57) (L 3650, off 20) (L 8076, off 11) (L 8907, off 53) (L 9240, off 23) 
 "met" 13 (L 855, off 42) (L 1253, off 13) (L 1789, off 0) (L 3618, off 39) (L 4315, off 42) (L 4483, off 65) (L 5633, off 59) (L 5777, off 16) (L 6023, off 24) (L 6636, off 25) (L 7131, off 3) (L 7778, off 58) (L 9300, off 9) 
 "missing" 13 (L 1860, off 0) (L 1901, off 13) (L 2964, off 30) (L 3883, off 61) (L 4338, off 44) (L 4343, off 56) (L 4347, off 31) (L 4350, off 0) (L 4622, off 29) (L 4724, off 31) (L 6083, off 57) (L 6127, off 27) (L 6146, off 33) 
 "ones" 13 (L 523, off 4) (L 2043, off 15) (L 2976, off 66) (L 3071, off 64) (L 3568, off 54) (L 5610, off 22) (L 5825, off 50) (L 7142, off 13) (L 7234, off 0) (L 7409, off 51) (L 7898, off 0) (L 8166, off 48) (L 8235, off 12) 
 "opening" 13 (L 854, off 63) (L 3191, off 36) (L 3196, off 10) (L 3243, off 32) (L 3247, off 50) (L 3290, off 10) (L 3297, off 0) (L 3369, off 35) (L 3385, off 0) (L 3468, off 20) (L 3650, off 25) (L 4415, off 33) (L 4853, off 24) 
 "org" 13 (L 6, off 43) (L 8980, off 29) (L 9018, off 17) (L 9083, off 43) (L 9118, off 68) (L 9250, off 48) (L 9261, off 13) (L 9269, off 15) (L 9271, off 21) (L 9276, off 19) (L 9297, off 36) (L 9311, off 38) (L 9331, off 26) 
 "outside" 13 (L 1617, off 10) (L 2513, off 21) (L 4762, off 14) (L 5242, off 63) (L 5634, off 11) (L 5649, off 13) (L 5829, off 32) (L 6122, off 58) (L 7521, off 58) (L 7980, off 24) (L 9063, off 40) (L 9068, off 48) (L 9306, off 0) 
 "page" 13 (L 845, off 10) (L 845, off 58) (L 1298, off 10) (L 1769, off 26) (L 2117, off 61) (L 2398, off 19) (L 3372, off 48) (L 6185, off 36) (L 7538, off 18) (L 8634, off 8) (L 8966, off 10) (L 9250, off 23) (L 9271, off 0) 
 "possible" 13 (L 618, off 37) (L 1105, off 18) (L 1719, off 49) (L 2463, off 35) (L 2982, off 8) (L 3041, off 54) (L 3116, off 14) (L 3173, off 32) (L 4045, off 18) (L 6360, off 36) (L 6434, off 19) (L 7657, off 41) (L 7901, off 52) 
 "public" 13 (L 948, off 13) (L 2127, off 15) (L 2480, off 14) (L 4192, off 61) (L 5584, off 0) (L 8989, off 24) (L 9002, off 26) (L 9048, off 22) (L 9049, off 26) (L 9086, off 9) (L 9173, off 0) (L 9283, off 7) (L 9284, off 25) 
 "quickly" 13 (L 720, off 61) (L 956, off 62) (L 1021, off 0) (L 1482, off 22) (L 1495, off 46) (L 1698, off 58) (L 1765, off 24) (L 2139, off 42) (L 4773, off 49) (L 5049, off 38) (L 5509, off 9) (L 5683, off 52) (L 6434, off 8) 
 "reading" 13 (L 3714, off 19) (L 3748, off 16) (L 3762, off 19) (L 3764, off 10) (L 4621, off 57) (L 4764, off 40) (L 5156, off 11) (L 5168, off 60) (L 5198, off 48) (L 5220, off 22) (L 5289, off 60) (L 7342, off 49) (L 9024, off 9) 
 "realized" 13 (L 776, off 20) (L 1542, off 19) (L 2565, off 11) (L 2794, off 44) (L 2965, off 0) (L 3539, off 34) (L 3983, off 55) (L 4039, off 30) (L 4197, off 3) (L 4441, off 6) (L 5091, off 62) (L 5619, off 50) (L 8326, off 61) 
 "sight" 13 (L 1509, off 7) (L 2682, off 4) (L 3908, off 36) (L 4023, off 17) (L 4680, off 35) (L 4931, off 35) (L 4953, off 11) (L 5593, off 0) (L 5777, off 10) (L 6502, off 0) (L 7149, off 20) (L 8143, off 55) (L 8661, off 0) 
 "strikers" 13 (L 3795, off 60) (L 3802, off 0) (L 3808, off 0) (L 3821, off 38) (L 3845, off 0) (L 3852, off 45) (L 3878, off 0) (L 3929, off 17) (L 4180, off 38) (L 4185, off 17) (L 4190, off 46) (L 4312, off 19) (L 4741, off 46) 
 "strong" 13 (L 312, off 61) (L 812, off 14) (L 831, off 35) (L 949, off 41) (L 1397, off 35) (L 2072, off 23) (L 2800, off 17) (L 3877, off 36) (L 4038, off 29) (L 4432, off 20) (L 4554, off 4) (L 6413, off 7) (L 6770, off 45) 
 "struck" 13 (L 989, off 6) (L 1003, off 11) (L 2604, off 18) (L 2610, off 10) (L 2637, off 11) (L 2668, off 42) (L 3989, off 9) (L 4846, off 11) (L 6414, off 25) (L 7075, off 0) (L 7906, off 0) (L 8171, off 57) (L 8303, off 10) 
 "study" 13 (L 1450, off 15) (L 2122, off 40) (L 2145, off 21) (L 2149, off 35) (L 2784, off 12) (L 3628, off 13) (L 3635, off 61) (L 3645, off 12) (L 3673, off 31) (L 3696, off 63) (L 3768, off 51) (L 4755, off 41) (L 6130, off 37) 
 "sudden" 13 (L 702, off 28) (L 2577, off 7) (L 2621, off 37) (L 4174, off 33) (L 4428, off 19) (L 4436, off 14) (L 5192, off 25) (L 5252, off 62) (L 5683, off 10) (L 7066, off 22) (L 7655, off 12) (L 7808, off 31) (L 8274, off 13) 
 "table" 13 (L 800, off 37) (L 1459, off 32) (L 1633, off 56) (L 1657, off 60) (L 1994, off 38) (L 2456, off 24) (L 2483, off 20) (L 3478, off 0) (L 3829, off 16) (L 5016, off 5) (L 5815, off 34) (L 6849, off 42) (L 8058, off 47) 
 "talking" 13 (L 1160, off 22) (L 1539, off 21) (L 2015, off 10) (L 2135, off 44) (L 4238, off 60) (L 5477, off 58) (L 5593, off 7) (L 5626, off 42) (L 5918, off 59) (L 6580, off 0) (L 7208, off 11) (L 7553, off 27) (L 7558, off 10) 
 "watched" 13 (L 1026, off 49) (L 1047, off 0) (L 4131, off 12) (L 4903, off 6) (L 5049, off 6) (L 5373, off 6) (L 5539, off 8) (L 5647, off 51) (L 5740, off 18) (L 7694, off 28) (L 7706, off 39) (L 7721, off 23) (L 8016, off 54) 
 "why" 13 (L 1117, off 6) (L 1324, off 17) (L 1398, off 44) (L 2459, off 53) (L 4010, off 50) (L 4089, off 34) (L 4183, off 25) (L 5426, off 51) (L 5461, off 5) (L 6042, off 39) (L 6303, off 3) (L 6667, off 59) (L 7296, off 56) 
 "wondering" 13 (L 1225, off 31) (L 1390, off 34) (L 1814, off 27) (L 1943, off 32) (L 2802, off 31) (L 3736, off 12) (L 4010, off 0) (L 4286, off 30) (L 5304, off 27) (L 6305, off 23) (L 6579, off 52) (L 6667, off 49) (L 7355, off 53) 
 "Chot" 14 (L 471, off 52) (L 474, off 0) (L 476, off 39) (L 478, off 35) (L 481, off 33) (L 487, off 23) (L 496, off 50) (L 500, off 0) (L 508, off 12) (L 510, off 45) (L 526, off 7) (L 536, off 9) (L 541, off 37) (L 548, off 46) 
 "Once" 14 (L 647, off 0) (L 1703, off 53) (L 1779, off 31) (L 2644, off 0) (L 2936, off 0) (L 3038, off 34) (L 3279, off 0) (L 3891, off 50) (L 4479, off 10) (L 6325, off 0) (L 6891, off 48) (L 7062, off 40) (L 8237, off 0) (L 8247, off 0) 
 "Rollinson" 14 (L 200, off 46) (L 216, off 45) (L 255, off 42) (L 267, off 32) (L 341, off 33) (L 349, off 57) (L 368, off 25) (L 424, off 38) (L 431, off 4) (L 446, off 21) (L 590, off 0) (L 601, off 31) (L 613, off 41) (L 627, off 4) 
 "States" 14 (L 970, off 56) (L 3041, off 29) (L 5578, off 57) (L 6381, off 0) (L 8990, off 18) (L 8991, off 52) (L 9048, off 50) (L 9049, off 54) (L 9050, off 22) (L 9063, off 59) (L 9069, off 0) (L 9088, off 40) (L 9292, off 0) (L 9306, off 19) 
 "Suddenly" 14 (L 975, off 0) (L 998, off 0) (L 1129, off 0) (L 2208, off 0) (L 2553, off 0) (L 2675, off 0) (L 3212, off 27) (L 4131, off 58) (L 5019, off 59) (L 5127, off 0) (L 5173, off 0) (L 5740, off 0) (L 7716, off 0) (L 7736, off 0) 
 "United" 14 (L 970, off 49) (L 3041, off 22) (L 5578, off 50) (L 6380, off 59) (L 8990, off 11) (L 8991, off 45) (L 9048, off 43) (L 9049, off 47) (L 9050, off 15) (L 9063, off 52) (L 9068, off 60) (L 9088, off 33) (L 9291, off 59) (L 9306, off 12) 
 "Who" 14 (L 255, off 1) (L 272, off 51) (L 1164, off 32) (L 1513, off 1) (L 1683, off 1) (L 1808, off 37) (L 1876, off 1) (L 2410, off 1) (L 3582, off 1) (L 5207, off 1) (L 5287, off 1) (L 6661, off 5) (L 7429, off 1) (L 7650, off 1) 
 "anxious" 14 (L 431, off 15) (L 2397, off 0) (L 2746, off 36) (L 3651, off 30) (L 4271, off 12) (L 4460, off 37) (L 5370, off 29) (L 6254, off 42) (L 6776, off 11) (L 6868, off 21) (L 6905, off 16) (L 7315, off 58) (L 7409, off 43) (L 7733, off 19) 
 "bit" 14 (L 699, off 7) (L 1569, off 9) (L 1666, off 18) (L 2657, off 0) (L 3257, off 16) (L 3488, off 68) (L 3870, off 7) (L 5268, off 29) (L 5480, off 25) (L 7047, off 66) (L 7248, off 2) (L 7320, off 18) (L 7353, off 0) (L 8415, off 21) 
 "break" 14 (L 969, off 28) (L 3055, off 27) (L 3062, off 36) (L 4281, off 45) (L 4413, off 40) (L 4416, off 42) (L 4434, off 16) (L 5733, off 22) (L 6801, off 9) (L 6932, off 14) (L 7313, off 10) (L 7503, off 26) (L 7612, off 11) (L 7805, off 13) 
 "burglar" 14 (L 4255, off 21) (L 4396, off 27) (L 4414, off 5) (L 4442, off 0) (L 4529, off 11) (L 4534, off 11) (L 4540, off 32) (L 4547, off 62) (L 4567, off 32) (L 4586, off 5) (L 4610, off 15) (L 4610, off 56) (L 4644, off 23) (L 8952, off 13) 
 "clock" 14 (L 877, off 42) (L 962, off 20) (L 1222, off 30) (L 1323, off 7) (L 1406, off 31) (L 1532, off 43) (L 1740, off 20) (L 1748, off 21) (L 1782, off 32) (L 3831, off 52) (L 4688, off 32) (L 4899, off 47) (L 6316, off 0) (L 7084, off 19) 
 "counterfeiters" 14 (L 5537, off 22) (L 5568, off 45) (L 5583, off 0) (L 5588, off 0) (L 5597, off 1) (L 5601, off 4) (L 5613, off 21) (L 5620, off 10) (L 5647, off 4) (L 5793, off 44) (L 5798, off 6) (L 5823, off 0) (L 5868, off 0) (L 5895, off 18) 
 "crack" 14 (L 3241, off 57) (L 3249, off 17) (L 3263, off 29) (L 3270, off 23) (L 3290, off 4) (L 3962, off 6) (L 4826, off 64) (L 5001, off 0) (L 5051, off 4) (L 5096, off 25) (L 5524, off 30) (L 5562, off 49) (L 5734, off 4) (L 7607, off 59) 
 "cure" 14 (L 1978, off 24) (L 2079, off 15) (L 3482, off 4) (L 5314, off 8) (L 5336, off 17) (L 5343, off 17) (L 6613, off 28) (L 6709, off 0) (L 6710, off 62) (L 6720, off 17) (L 6737, off 19) (L 6792, off 19) (L 6796, off 36) (L 6813, off 23) 
 "decided" 14 (L 724, off 0) (L 792, off 0) (L 1250, off 56) (L 1307, off 43) (L 2089, off 42) (L 2121, off 36) (L 2138, off 37) (L 2749, off 47) (L 4852, off 3) (L 5359, off 58) (L 5843, off 26) (L 6794, off 11) (L 6831, off 47) (L 7309, off 0) 
 "distance" 14 (L 2999, off 54) (L 3508, off 41) (L 3788, off 0) (L 4241, off 51) (L 4280, off 15) (L 4417, off 46) (L 5181, off 44) (L 6247, off 45) (L 6414, off 0) (L 7907, off 9) (L 7954, off 12) (L 8168, off 52) (L 8269, off 4) (L 8307, off 13) 
 "dynamite" 14 (L 1129, off 39) (L 7268, off 14) (L 7329, off 0) (L 7345, off 15) (L 7365, off 48) (L 7369, off 11) (L 7554, off 17) (L 7558, off 37) (L 7569, off 46) (L 7665, off 32) (L 7679, off 58) (L 7685, off 10) (L 7696, off 14) (L 7716, off 59) 
 "each" 14 (L 286, off 33) (L 493, off 45) (L 1620, off 55) (L 1643, off 10) (L 2117, off 56) (L 2497, off 58) (L 2864, off 22) (L 3005, off 22) (L 3007, off 4) (L 4139, off 61) (L 4502, off 58) (L 5779, off 0) (L 8623, off 49) (L 9139, off 43) 
 "farm" 14 (L 201, off 63) (L 217, off 44) (L 224, off 66) (L 234, off 52) (L 236, off 9) (L 293, off 27) (L 344, off 47) (L 352, off 16) (L 366, off 24) (L 383, off 11) (L 475, off 67) (L 830, off 23) (L 2000, off 48) (L 2029, off 61) 
 "hurry" 14 (L 1556, off 19) (L 1741, off 0) (L 2549, off 50) (L 3731, off 10) (L 4571, off 13) (L 5108, off 55) (L 5281, off 20) (L 5474, off 51) (L 6445, off 9) (L 7592, off 15) (L 7816, off 16) (L 8104, off 64) (L 8401, off 28) (L 8565, off 13) 
 "land" 14 (L 203, off 55) (L 640, off 44) (L 2006, off 27) (L 2012, off 6) (L 2017, off 64) (L 2561, off 8) (L 2605, off 23) (L 2622, off 37) (L 2671, off 17) (L 5630, off 49) (L 8255, off 63) (L 8428, off 53) (L 8508, off 0) (L 8770, off 17) 
 "lived" 14 (L 229, off 61) (L 246, off 62) (L 542, off 22) (L 641, off 18) (L 655, off 0) (L 661, off 58) (L 2090, off 41) (L 3509, off 6) (L 4794, off 12) (L 4945, off 52) (L 4952, off 46) (L 5598, off 47) (L 6570, off 8) (L 6904, off 4) 
 "longer" 14 (L 449, off 35) (L 1774, off 43) (L 1998, off 12) (L 2030, off 37) (L 3131, off 52) (L 3563, off 14) (L 4018, off 20) (L 5712, off 40) (L 5798, off 44) (L 6283, off 30) (L 7108, off 0) (L 7783, off 12) (L 8235, off 5) (L 8623, off 37) 
 "lost" 14 (L 293, off 18) (L 519, off 6) (L 773, off 51) (L 836, off 57) (L 2098, off 38) (L 2343, off 35) (L 2346, off 49) (L 2700, off 6) (L 2936, off 38) (L 4333, off 32) (L 4628, off 25) (L 6731, off 5) (L 7220, off 16) (L 8238, off 61) 
 "minute" 14 (L 197, off 11) (L 489, off 42) (L 1879, off 12) (L 2534, off 26) (L 3715, off 32) (L 4618, off 50) (L 5231, off 13) (L 5733, off 35) (L 7047, off 13) (L 7093, off 8) (L 7294, off 59) (L 7571, off 23) (L 7709, off 23) (L 7828, off 8) 
 "nurse" 14 (L 2634, off 3) (L 6825, off 10) (L 6831, off 21) (L 6837, off 51) (L 6848, off 46) (L 6860, off 59) (L 6884, off 58) (L 6896, off 0) (L 6919, off 41) (L 6997, off 23) (L 7012, off 60) (L 8681, off 28) (L 8686, off 36) (L 8700, off 11) 
 "opened" 14 (L 1345, off 14) (L 1503, off 14) (L 2171, off 20) (L 3469, off 20) (L 3508, off 21) (L 3512, off 4) (L 4157, off 10) (L 4464, off 5) (L 4774, off 40) (L 6102, off 5) (L 7161, off 23) (L 7629, off 11) (L 7947, off 0) (L 8442, off 46) 
 "own" 14 (L 464, off 62) (L 858, off 53) (L 1836, off 67) (L 1998, off 19) (L 2414, off 54) (L 2705, off 47) (L 2760, off 43) (L 3388, off 55) (L 4336, off 12) (L 4834, off 0) (L 4839, off 33) (L 4915, off 4) (L 7054, off 4) (L 7561, off 62) 
 "plan" 14 (L 819, off 32) (L 2572, off 59) (L 2863, off 8) (L 4402, off 21) (L 4723, off 5) (L 5201, off 50) (L 5217, off 12) (L 6316, off 36) (L 6333, off 8) (L 6530, off 17) (L 6559, off 62) (L 7558, off 23) (L 7584, off 10) (L 7928, off 25) 
 "received" 14 (L 1859, off 0) (L 2632, off 51) (L 2637, off 51) (L 4338, off 26) (L 5932, off 15) (L 6546, off 52) (L 8629, off 36) (L 8632, off 24) (L 8637, off 0) (L 9199, off 38) (L 9200, off 0) (L 9203, off 16) (L 9295, off 18) (L 9305, off 53) 
 "show" 14 (L 384, off 11) (L 1092, off 22) (L 1568, off 55) (L 1677, off 54) (L 2039, off 28) (L 2477, off 60) (L 3471, off 4) (L 5793, off 35) (L 5896, off 65) (L 6082, off 40) (L 8423, off 0) (L 8686, off 10) (L 8757, off 11) (L 8891, off 44) 
 "sound" 14 (L 343, off 59) (L 1481, off 50) (L 2310, off 25) (L 3141, off 39) (L 3951, off 54) (L 4844, off 37) (L 4847, off 47) (L 4968, off 8) (L 5016, off 52) (L 5020, off 15) (L 5740, off 42) (L 6232, off 26) (L 6661, off 59) (L 7483, off 35) 
 "streets" 14 (L 740, off 39) (L 837, off 53) (L 840, off 50) (L 902, off 23) (L 2639, off 30) (L 2931, off 32) (L 3366, off 61) (L 3835, off 64) (L 4635, off 35) (L 4870, off 62) (L 4901, off 9) (L 5822, off 48) (L 6437, off 54) (L 8171, off 10) 
 "tears" 14 (L 442, off 37) (L 450, off 0) (L 494, off 19) (L 526, off 0) (L 678, off 17) (L 813, off 13) (L 2077, off 59) (L 3485, off 15) (L 4679, off 65) (L 5347, off 46) (L 6797, off 26) (L 6811, off 12) (L 6879, off 41) (L 8698, off 22) 
 "times" 14 (L 1138, off 47) (L 2808, off 43) (L 3174, off 35) (L 3800, off 57) (L 3889, off 13) (L 4448, off 8) (L 4733, off 40) (L 5715, off 43) (L 6542, off 41) (L 6550, off 0) (L 6855, off 3) (L 6857, off 12) (L 6865, off 28) (L 7150, off 25) 
 "working" 14 (L 809, off 38) (L 3311, off 35) (L 5014, off 55) (L 5037, off 44) (L 5631, off 19) (L 5728, off 49) (L 5778, off 37) (L 6187, off 20) (L 6254, off 13) (L 6518, off 0) (L 7345, off 0) (L 7532, off 5) (L 7535, off 5) (L 7780, off 4) 
 "From" 15 (L 1, off 31) (L 9, off 7) (L 800, off 0) (L 1633, off 25) (L 1696, off 0) (L 3794, off 66) (L 4621, off 0) (L 5962, off 1) (L 8847, off 8) (L 8974, off 27) 
 "ROVER" 15 (L 8792, off 8) (L 8796, off 8) (L 8800, off 8) (L 8804, off 8) (L 8808, off 8) (L 8812, off 8) (L 8816, off 8) (L 8820, off 8) (L 8824, off 8) (L 8828, off 8) (L 8832, off 8) (L 8836, off 8) (L 8840, off 8) (L 8845, off 8) (L 8849, off 8) 
 "Several" 15 (L 221, off 53) (L 1527, off 0) (L 3174, off 27) (L 3571, off 17) (L 3601, off 0) (L 3833, off 28) (L 3837, off 0) (L 3874, off 56) (L 4448, off 0) (L 4748, off 0) (L 7416, off 57) (L 7748, off 33) (L 7922, off 0) (L 8645, off 0) (L 8704, off 64) 
 "Tom" 15 (L 3675, off 35) (L 3680, off 37) (L 3697, off 47) (L 3705, off 3) (L 3710, off 27) (L 3720, off 37) (L 3726, off 0) (L 3730, off 35) (L 3738, off 64) (L 3745, off 37) (L 3752, off 48) (L 3757, off 16) (L 3774, off 22) (L 3779, off 32) (L 8851, off 28) 
